Temperature,Top P,Top K,BM25 Weight,Extracted Concepts
0.5,0.95,1,0.6,"Prohairesis (Proaíresis) – Voluntary Choice [#FF6347], Arete (Aristotle's Virtue Ethics) [#8B008B], Phronesis (Practical Wisdom) [#708090], Akrasia (Incontinence) and Enkrateia (Self-Control) [#FF8C00], Eudaimonia (Flourishing) [#FFD700], Justice (Dikaiosyne) [#A0522D], Friendship (Philia) [#556B2F], Moral Luck (Tyche) [#6A5ACD], Pleasure (Hedone) and Pain (Lupe) [#C71585], Moral Responsibility in Social Contexts [#6A5ACD]"
0.5,0.95,25,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#708090], Prohairesis (Choice) [#483D8B], Eudaimonia (Flourishing/Happiness) [#FFD700], Nomos (Law/Convention) [#D2691E], Aretē Ethike (Moral Virtue) [#8B008B], Kakia (Vice) [#8B4513], Dikaiosyne (Justice) [#A0522D], Sophrosyne (Temperance) [#000000], Andreia (Courage) [#228B22]"
0.5,0.95,50,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#708090], Prohairesis (Choice) [#483D8B], Eudaimonia (Flourishing) [#FFD700], Akritia (Incontinence) [#FF8C00], Dikaiosyne (Justice) [#A0522D], Sophrosyne (Temperance) [#000000], Arete (Courage) [#228B22], Philos (Friendship) [#556B2F], Nomos (Law) [#D2691E]"
0.5,0.95,75,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#708090], Prohairesis (Choice) [#483D8B], Eudaimonia (Flourishing/Happiness) [#FFD700], Justice (Dikaiosyne) [#A0522D], Friendship (Philia) [#556B2F], Courage (Andreia) [#228B22], Temperance (Sophrosyne) [#000000], Self-Control (Enkrateia) [#2E8B57], Moral Responsibility in Action (Praxis) [#6A5ACD]"
0.5,0.95,100,0.6,"Arête (ἀρετή) - Virtue [#8B008B], Eudaimonia (εὐδαιμονία) - Flourishing/Happiness [#FFD700], Phronesis (φρόνησις) - Practical Wisdom [#708090], Prohairesis (προαίρεσις) - Choice [#483D8B], Nomos (νόμος) - Law/Custom [#D2691E], Dikaiosyne (δικαιοσύνη) - Justice [#A0522D], Sophrosyne (σωφροσύνη) - Temperance [#000000], Andreia (ἀνδρεία) - Courage [#228B22], Akrasia (ἀκρασία) - Incontinence [#FF8C00], Enkrateia (ἐγκράτεια) - Self-Control [#2E8B57]"
0.5,0.95,50,0.0,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#708090], Prohairesis (Choice) [#483D8B], Akrasia (Incontinence or Weakness of Will) [#800000], Akolia (Wickedness or Vice) [#800000], Dikaiosyne (Justice) [#A0522D], Eudaimonia (Flourishing or Happiness) [#800000], Philia (Friendship) [#556B2F], Nomos (Law or Custom) [#800000], Arete Politike (Political Virtue) [#8B008B]"
0.5,0.95,50,0.25,"Proairesis (Prohairesis) - Choice or Decision [#800000], Arete (Arête) - Virtue or Excellence [#800000], Phronesis (Phronesis) - Practical Wisdom [#708090], Eudaimonia (Eudaimonia) - Flourishing or Happiness [#800000], Nomos (Nomos) - Law or Custom [#800000], Dikaiosyne (Dikaiosyne) - Justice [#A0522D], Sophrosyne (Sophrosyne) - Temperance or Self-Control [#800000], Thumos (Thumos) - Spirit or Emotion [#800000], Aidos (Aidos) - Shame or Respect [#800000], Philautia (Philautia) - Self-Love [#2E8B57]"
0.5,0.95,50,0.5,"Proairesis (Prohairesis) - Choice or Decision [#800000], Hexis (Hexis) - Habit or Disposition [#800000], Aretē (Arete) - Virtue [#8B008B], Phronēsis (Phronesis) - Practical Wisdom [#708090], Akrasia (Akrasia) - Incontinence or Weakness of Will [#800000], Kakia (Kakia) - Vice [#8B4513], Eudaimonia (Eudaimonia) - Flourishing or Happiness [#800000], Dikaiosynē (Dikaiosyne) - Justice [#A0522D], Sophrosynē (Sophrosyne) - Temperance [#000000], Philos (Philia) - Friendship [#556B2F]"
0.5,0.95,50,0.75,"Arête (Virtue) [#8B008B], Philia (Friendship) [#556B2F], Eudaimonia (Happiness/Flourishing) [#FFD700], Prohairesis (Choice) [#483D8B], Akritēs (Incontinence) [#FF8C00], Enkrateia (Self-Control) [#2E8B57], Dikaiosyne (Justice) [#A0522D], Arete (Excellence) [#8B008B], Phronesis (Practical Wisdom) [#708090], Kathēkon (Duty) [#B22222]"
0.5,0.95,50,1.0,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#708090], Prohairesis (Voluntary Choice) [#483D8B], Eudaimonia (Flourishing/Happiness) [#FFD700], Nomos (Law/Custom) [#D2691E], Dikaiosyne (Justice) [#A0522D], Sophrosyne (Temperance) [#000000], Arete (Courage) [#228B22], Philos (Friendship) [#556B2F], Aidos (Shame/Respect) [#800000]"
