Temperature,Top P,Top K,BM25 Weight,Extracted Concepts
0.5,0.95,1,0.6,"Voluntary and Involuntary Actions [#8B4513], Moral Choice (Prohairesis) [#FF8C00], Self-Control (Enkrateia) and Lack of Self-Control (Akrasia) [#9932CC], Virtue (Arete) [#808000], Practical Wisdom (Phronesis) [#708090], Habituation (Ethos) [#800000], Ignorance (Agnoia) [#2E8B57], Passion (Pathos) [#6A5ACD], Deliberation (Boulēsis) [#228B22], Moral Virtues and Vices [#FF4500]"
0.5,0.95,25,0.6,"Moral Choice (Prohairesis) [#FF8C00], Voluntary Actions [#8B0000], Intellect (Nous) [#556B2F], Habituation (Ethos) [#800000], Practical Wisdom (Phronesis) [#708090], Self-Control (Enkrateia) [#483D8B], Virtue (Arete) [#808000], Involuntary Actions [#8B4513], Deliberation (Boulēsis) [#228B22], Moral Character (Ethos) [#800000]"
0.5,0.95,50,0.6,"Moral Choice (Prohairesis) [#FF8C00], Voluntary and Involuntary Actions [#8B4513], Ignorance (Agnoia) [#2E8B57], Passion (Pathos) [#6A5ACD], Self-Control (Enkrateia) and Lack of Self-Control (Akrasia) [#9932CC], Habit (Ethos) [#800000], Reason (Logos) [#FF6347], Virtue (Arete) [#808000], Vice (Kakia) [#000000], Pleasure and Pain (Hedone and Lupe) [#006400]"
0.5,0.95,75,0.6,"Moral Choice (Prohairesis) [#FF8C00], Voluntary Actions [#8B0000], Intellect (Nous) [#556B2F], Habits (Ethos) [#800000], Practical Wisdom (Phronesis) [#708090], Self-Control (Enkrateia) [#483D8B], Virtue (Arete) [#808000], Ignorance (Agnoia) [#2E8B57], Passion (Pathos) [#6A5ACD], Deliberation (Boulēsis) [#228B22], Moral Principle (Logos) [#FF4500], Character (Ethos) [#800000]"
0.5,0.95,100,0.6,"Moral Choice (Prohairesis) [#FF8C00], Voluntary Actions [#8B0000], Intellect (Nous) [#556B2F], Habituation (Ethos) [#800000], Virtue (Arete) [#808000], Practical Wisdom (Phronesis) [#708090], Self-Control (Enkrateia) [#483D8B], Ignorance (Agnoia) [#2E8B57], Passion (Pathos) [#6A5ACD], Deliberation (Boulēsis) [#228B22]"
0.5,0.95,50,0.0,"Voluntary and Involuntary Actions [#8B4513], Moral Choice (Prohairesis) [#FF8C00], Habituation and Virtue [#A0522D], Intellect and Will [#556B2F], Deliberation [#228B22], Practical Wisdom (Phronesis) [#708090], Self-Control (Enkrateia) and Akrasia (Incontinence) [#9932CC], Virtue and Vice [#006400], Moral Sense [#FF4500], Equity (Epikeia) [#8B008B]"
0.5,0.95,50,0.25,"Voluntary and Involuntary Actions [#8B4513], Moral Choice (Prohairesis) [#FF8C00], Habituation and Virtue [#A0522D], Practical Wisdom (Phronesis) [#708090], Self-Control (Enkrateia) and Incontinence (Akrasia) [#9932CC], Deliberation (Boulēsis) [#228B22], Moral Virtues and Vices [#FF4500], Ignorance and Responsibility [#2E8B57], Moral Principles and Rules [#FF4500], Moral Sense (Aisthesis) [#FF4500]"
0.5,0.95,50,0.5,"Voluntary and Involuntary Actions [#8B4513], Moral Choice (Prohairesis) [#FF8C00], Knowledge and Ignorance [#2E8B57], Passion and Emotion [#6A5ACD], Habituation and Virtue [#A0522D], Deliberation [#228B22], Self-Control (Enkrateia) and Akrasia (Incontinence) [#9932CC], Practical Wisdom (Phronesis) [#708090], Moral Virtues and Vices [#FF4500], Justice (Dikaiosyne) [#20B2AA]"
0.5,0.95,50,0.75,"Voluntary and Involuntary Actions [#8B4513], Moral Choice (Prohairesis) [#FF8C00], Intellect and Will [#556B2F], Habituation and Virtue [#A0522D], Self-Control (Enkrateia) and Incontinence (Akrasia) [#9932CC], Practical Wisdom (Phronesis) [#708090], Virtue and Vice [#006400], Deliberation [#228B22], Responsibility for Feelings and Actions [#006400], Moral Sense [#FF4500]"
0.5,0.95,50,1.0,"Moral Choice (Prohairesis) [#FF8C00], Voluntary and Involuntary Actions [#8B4513], Self-Control (Enkrateia) and Lack of Self-Control (Akrasia) [#9932CC], Habituation (Ethos) [#800000], Practical Wisdom (Phronesis) [#708090], Virtue (Arete) [#808000], Deliberation (Boulēsis) [#228B22], Ignorance (Agnoia) [#2E8B57], Passion (Pathos) [#6A5ACD], Moral Virtues and Vices [#FF4500]"
